CNES - Recursos Humanos - Ocupações - segundo CBO 2002 - Brasil
Total por Município e Ano/mês compet.
Profissionais selecionados: .. Clínico Geral
Período:Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Nov/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Nov";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"430825 Floriano Peixoto";1;1;1;2;2;2;2;2;2;2;2;2;2;1
"430830 Fontoura Xavier";5;5;7;7;6;7;8;8;6;5;5;6;7;8
"430840 Formigueiro";8;10;9;17;24;26;10;8;6;8;7;7;7;8
"430843 Forquetinha";1;1;2;3;5;3;3;3;3;3;4;1;1;2
"430845 Fortaleza dos Valos";6;8;9;11;11;4;4;5;5;4;4;3;5;5
"430850 Frederico Westphalen";26;38;41;49;54;55;52;61;69;65;65;65;63;65
"430860 Garibaldi";25;26;35;36;42;54;55;59;54;63;65;73;76;102
"430865 Garruchos";1;2;1;2;2;3;7;7;4;5;4;3;3;1
"430870 Gaurama";12;19;19;21;18;16;18;18;21;22;21;22;22;22
"430880 General Câmara";4;9;5;11;13;13;11;14;9;7;7;6;6;6
"430885 Gentil";-;-;1;3;4;6;3;5;4;1;3;3;3;1
"430890 Getúlio Vargas";14;16;19;21;26;32;28;30;25;21;30;26;25;47
"430900 Giruá";16;22;21;17;22;23;25;21;24;29;30;47;40;36
"430905 Glorinha";-;2;2;4;3;5;4;5;9;7;5;5;6;8
"430910 Gramado";37;52;79;87;88;84;123;104;105;121;118;127;142;153
"430912 Gramado dos Loureiros";-;-;-;-;-;-;1;1;1;1;1;-;1;2
"430915 Gramado Xavier";1;1;2;2;1;3;2;1;1;1;1;1;2;3
"430920 Gravataí";183;290;293;287;244;258;228;209;157;163;284;298;309;466
"430925 Guabiju";4;4;4;4;2;4;5;6;3;3;3;5;7;3
"430930 Guaíba";114;170;228;206;182;166;193;176;172;192;116;126;98;148
"430940 Guaporé";19;24;34;43;47;49;47;37;50;50;46;46;56;61
"430950 Guarani das Missões";15;16;18;14;12;12;8;8;7;7;7;7;7;7
"430955 Harmonia";3;3;4;4;4;4;2;2;2;3;3;3;4;5
"430710 Herval";5;6;5;5;5;5;8;7;7;8;6;6;5;5
"430957 Herveiras";1;1;1;1;2;2;2;2;2;2;2;2;2;3
"430960 Horizontina";16;15;20;20;15;17;18;23;29;31;33;33;23;26
"430965 Hulha Negra";-;-;-;-;-;-;-;-;1;3;1;2;4;4
"430970 Humaitá";3;4;5;5;5;7;8;9;5;5;8;8;9;11
"430980 Ibiaçá";3;2;4;6;7;9;12;12;12;11;10;10;10;9
"430990 Ibiraiaras";1;2;5;4;3;3;3;3;5;4;4;4;4;7
"430995 Ibirapuitã";-;-;-;-;1;1;1;1;1;1;-;-;1;-
"431000 Ibirubá";41;44;25;30;26;25;27;28;27;29;33;29;39;41
"431010 Igrejinha";21;33;63;112;99;96;115;76;85;100;111;110;135;117
"431020 Ijuí";57;197;222;224;238;242;246;253;156;155;148;150;163;159
"431030 Ilópolis";4;4;4;3;6;6;9;10;11;11;13;12;11;11
"431033 Imbé";20;19;19;20;32;25;37;45;30;32;30;28;30;35
"431036 Imigrante";1;3;2;2;1;3;2;2;5;3;5;2;2;3
"431040 Independência";2;4;4;4;4;2;2;2;2;2;6;6;6;5
"431041 Inhacorá";-;-;-;-;-;-;-;-;-;-;2;2;2;4
"431043 Ipê";2;1;1;1;1;2;-;-;1;1;1;1;-;3
"431046 Ipiranga do Sul";-;-;-;1;1;1;-;-;-;-;-;-;-;1
"431050 Iraí";12;13;14;16;16;13;14;13;17;15;15;15;16;17
"431053 Itaara";3;2;2;4;3;1;1;2;2;2;4;4;4;5
"431055 Itacurubi";2;2;2;3;2;2;2;2;2;2;2;2;2;2
"431057 Itapuca";-;-;-;-;-;-;-;1;1;2;1;-;1;2
"431060 Itaqui";43;43;55;55;58;56;62;65;79;83;79;65;59;48
"431065 Itati";2;1;1;2;2;2;3;3;4;3;2;3;4;5
"431070 Itatiba do Sul";8;7;7;8;8;7;5;7;7;6;6;7;2;2
"431075 Ivorá";5;4;4;4;4;2;4;3;4;5;8;4;4;5
"431080 Ivoti";27;31;37;37;29;27;40;43;41;35;55;60;50;74
"431085 Jaboticaba";3;4;5;7;4;5;4;6;7;8;11;8;10;9
"431087 Jacuizinho";1;1;1;2;3;2;2;2;2;2;2;2;2;1
"431090 Jacutinga";4;8;8;8;6;6;6;7;7;7;6;6;3;4
"431100 Jaguarão";33;37;37;29;27;23;29;23;24;25;26;27;25;20
"431110 Jaguari";15;15;18;16;15;16;16;16;13;12;14;14;21;21
"431112 Jaquirana";2;4;1;1;1;1;1;1;1;3;1;1;1;3
"431113 Jari";1;1;3;3;1;3;1;4;5;4;6;7;3;3
"431115 Jóia";6;4;1;1;1;5;4;2;1;2;2;3;1;2
"431120 Júlio de Castilhos";28;25;27;23;17;19;17;19;30;26;20;22;25;25
"431123 Lagoa Bonita do Sul";2;2;2;1;-;1;-;-;-;1;1;1;1;-
"431127 Lagoa dos Três Cantos";1;1;1;1;-;2;1;2;1;3;3;3;3;2
"431130 Lagoa Vermelha";13;19;21;23;23;26;30;35;35;39;38;45;50;52
"431125 Lagoão";1;2;2;2;1;2;2;1;-;-;-;2;2;2
"431140 Lajeado";47;178;202;201;225;222;270;304;308;294;310;339;379;422
"431142 Lajeado do Bugre";-;-;-;1;1;1;1;1;1;1;1;1;-;2
"431150 Lavras do Sul";7;8;9;9;11;10;10;10;11;10;10;10;11;10
"431160 Liberato Salzano";8;8;7;7;6;5;6;5;4;4;4;4;5;3
"431162 Lindolfo Collor";4;1;1;2;1;1;2;3;5;7;16;13;14;8
"431164 Linha Nova";3;3;3;3;3;3;3;3;3;3;3;2;1;3
"431171 Maçambará";3;3;6;7;10;10;9;9;6;7;4;4;3;1
"431170 Machadinho";5;5;3;6;6;7;5;6;6;6;8;7;9;7
"431173 Mampituba";2;2;2;2;-;-;2;2;-;-;-;3;2;2
"431175 Manoel Viana";3;1;6;4;3;4;3;4;3;5;6;6;7;-
"431177 Maquiné";8;8;6;6;6;6;6;3;2;2;2;1;1;2
"431179 Maratá";3;4;4;4;4;4;4;5;8;7;6;5;7;7
"431180 Marau";42;46;61;71;59;65;60;67;65;54;47;46;50;64
"431190 Marcelino Ramos";5;5;5;6;5;5;4;4;6;7;7;6;7;7
"431198 Mariana Pimentel";4;4;4;4;4;4;2;2;2;3;5;6;7;5
"431200 Mariano Moro";2;2;2;2;4;4;3;3;3;1;1;1;1;1
"431205 Marques de Souza";3;4;5;5;5;5;6;10;7;10;11;17;17;28
"431210 Mata";9;9;9;6;6;5;4;5;5;5;5;5;6;6
"431213 Mato Castelhano";-;-;-;1;1;1;1;3;2;3;3;2;4;3
"431215 Mato Leitão";4;4;5;6;3;3;1;1;1;3;2;4;2;3
"431217 Mato Queimado";-;-;-;-;-;-;-;3;3;3;2;2;2;2
"431220 Maximiliano de Almeida";4;5;6;6;4;4;4;4;6;6;5;5;4;6
"431225 Minas do Leão";3;2;2;2;3;3;3;2;4;4;6;4;4;5
"431230 Miraguaí";1;1;-;3;2;3;2;1;1;2;2;1;1;5
"431235 Montauri";1;1;1;1;2;1;-;-;-;-;-;-;-;-
"431237 Monte Alegre dos Campos";3;2;2;1;3;6;5;5;3;4;8;7;6;3
"431238 Monte Belo do Sul";1;1;2;3;2;1;1;1;1;2;3;1;3;3
"431240 Montenegro";65;74;122;150;120;166;102;154;128;141;164;161;198;237
"431242 Mormaço";1;1;2;2;2;2;2;4;1;1;4;1;1;1
"431244 Morrinhos do Sul";5;5;2;6;6;7;3;5;5;5;2;2;3;3
"431245 Morro Redondo";5;6;7;9;9;9;10;9;8;8;7;8;9;5
"431247 Morro Reuter";4;4;2;2;2;2;2;2;3;6;7;4;4;6
"431250 Mostardas";11;11;9;7;8;10;10;10;9;8;9;9;8;11
"431260 Muçum";4;6;6;7;7;6;6;5;7;7;7;8;10;13
"431261 Muitos Capões";3;1;2;3;4;5;5;4;3;3;3;4;4;3
"431262 Muliterno";1;3;2;2;2;3;3;2;3;3;4;4;4;4
"431265 Não-Me-Toque";24;28;28;28;34;29;28;34;36;37;35;36;33;32
"431267 Nicolau Vergueiro";1;1;2;3;2;1;1;-;1;1;-;-;-;-
"431270 Nonoai";13;14;15;17;14;14;16;16;18;18;20;17;18;21
"431275 Nova Alvorada";5;5;6;5;4;4;5;5;2;3;4;3;3;3
"431280 Nova Araçá";3;2;1;3;3;4;5;6;4;4;4;4;5;7
"431290 Nova Bassano";11;12;12;12;13;15;19;19;12;13;16;17;24;29
"431295 Nova Boa Vista";1;1;1;2;2;2;2;2;1;3;3;1;1;-
"431300 Nova Bréscia";3;4;4;3;3;5;5;4;5;5;5;5;5;6
"431301 Nova Candelária";1;1;1;1;2;2;2;2;2;2;2;2;1;-
"431303 Nova Esperança do Sul";3;3;3;3;3;3;3;5;2;2;2;2;2;2
"431306 Nova Hartz";16;16;18;16;14;14;8;10;15;12;19;17;14;16
"431308 Nova Pádua";2;2;2;2;2;2;3;3;3;3;3;3;3;2
"431310 Nova Palma";6;10;7;7;10;8;9;11;12;13;14;16;15;14
"431320 Nova Petrópolis";20;18;17;18;23;26;28;40;41;44;40;46;42;40
"431330 Nova Prata";19;26;45;48;48;53;52;53;51;55;54;70;75;81
"431333 Nova Ramada";-;-;1;1;2;3;2;2;2;2;3;4;4;5
"431335 Nova Roma do Sul";3;3;4;2;2;2;3;3;2;2;1;1;2;2
"431337 Nova Santa Rita";10;28;28;19;11;23;18;12;12;11;11;28;66;60
"431349 Novo Barreiro";-;-;-;-;-;-;-;-;2;2;2;2;1;-
"431339 Novo Cabrais";-;2;1;-;1;2;-;-;-;-;-;-;1;1
"431340 Novo Hamburgo";176;153;197;296;296;342;250;268;319;329;311;296;313;371
"431342 Novo Machado";-;-;-;1;3;1;1;-;-;-;-;-;-;-
"431344 Novo Tiradentes";-;-;-;2;2;2;2;2;2;2;2;2;2;2
"431346 Novo Xingu";-;-;-;1;1;1;1;1;1;1;1;1;1;-
"431350 Osório";34;45;52;54;48;58;55;62;61;72;59;62;60;81
"431360 Paim Filho";5;5;5;6;5;5;5;5;3;6;6;6;8;11
"431365 Palmares do Sul";10;12;28;25;16;17;11;9;14;19;24;19;21;26
"431370 Palmeira das Missões";22;24;25;24;29;24;31;40;52;70;64;60;56;57
"431380 Palmitinho";7;8;9;10;9;9;10;7;7;9;8;8;8;9
"431390 Panambi";28;26;39;41;45;47;58;57;52;51;57;53;50;58
"431395 Pantano Grande";10;10;12;11;11;11;10;10;5;6;5;5;5;7
"431400 Paraí";10;11;13;13;13;17;17;19;20;24;29;40;42;32
"431402 Paraíso do Sul";1;2;7;16;15;15;12;13;15;11;9;11;14;16
"431403 Pareci Novo";9;4;4;2;4;4;4;7;5;4;9;9;3;8
"431405 Parobé";33;53;60;57;39;61;45;41;45;47;52;56;55;74
"431406 Passa Sete";-;-;-;1;-;-;-;-;-;-;-;-;-;-
"431407 Passo do Sobrado";1;-;-;1;1;1;2;1;1;-;-;1;1;1
"431410 Passo Fundo";319;644;751;829;692;735;763;790;777;817;834;860;907;959
"431413 Paulo Bento";-;-;-;2;2;2;1;-;1;1;1;3;3;3
"431415 Paverama";5;5;5;8;7;9;9;6;5;6;6;7;6;19
"431417 Pedras Altas";8;7;7;5;3;5;4;4;6;7;5;10;12;18
"431420 Pedro Osório";5;7;11;13;11;10;8;8;9;9;14;17;13;15
"431430 Pejuçara";2;3;4;3;3;5;5;5;7;8;7;6;7;7
"431440 Pelotas";487;750;809;835;889;930;927;902;872;811;815;778;816;853
"431442 Picada Café";4;4;4;3;4;3;3;3;3;3;5;7;8;7
"431445 Pinhal";-;-;-;2;2;2;2;2;1;1;1;1;1;3
"431446 Pinhal da Serra";1;-;-;1;1;1;1;1;1;2;1;2;2;3
"431447 Pinhal Grande";6;8;8;8;8;8;8;8;4;6;6;9;11;5
"431449 Pinheirinho do Vale";2;2;2;2;3;4;4;4;5;5;2;3;4;4
"431450 Pinheiro Machado";21;10;8;8;7;9;8;10;11;11;29;19;15;15
"431454 Pinto Bandeira";-;-;-;-;-;-;3;-;-;1;-;1;1;1
"431455 Pirapó";2;1;1;2;2;1;2;2;3;3;2;2;1;1
"431460 Piratini";28;27;16;16;14;13;17;12;15;15;14;15;15;14
"431470 Planalto";5;5;5;6;6;7;7;8;6;5;6;6;8;6
"431475 Poço das Antas";2;2;1;3;3;3;3;3;2;2;2;2;5;6
"431477 Pontão";2;2;-;-;3;1;2;3;2;2;2;2;4;4
"431478 Ponte Preta";2;2;2;4;2;1;1;1;1;3;1;-;-;-
"431480 Portão";29;42;33;34;25;40;56;65;48;35;30;42;48;66
"431490 Porto Alegre";1688;2075;2235;2363;2325;2286;2456;2544;2616;2854;3138;3179;3233;3552
"431500 Porto Lucena";6;6;6;7;6;7;7;5;5;5;7;5;6;6
"431505 Porto Mauá";2;-;1;1;1;1;-;1;1;-;-;-;-;-
"431507 Porto Vera Cruz";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"431510 Porto Xavier";9;10;11;11;13;9;11;11;11;12;17;21;17;17
"431513 Pouso Novo";1;-;1;1;1;1;2;1;2;2;2;2;2;3
"431514 Presidente Lucena";1;2;2;8;5;6;4;5;4;5;7;6;7;7
"431515 Progresso";6;7;7;7;6;5;6;5;7;6;9;8;9;9
"431517 Protásio Alves";3;-;1;1;1;2;1;1;2;2;2;2;2;2
"431520 Putinga";-;2;6;5;3;4;7;6;7;3;4;4;3;5
"431530 Quaraí";17;26;32;27;24;22;29;25;16;20;26;29;29;30
"431531 Quatro Irmãos";-;-;-;1;1;1;-;1;1;1;-;-;-;-
"431532 Quevedos";2;2;-;-;-;-;-;-;-;-;-;-;-;-
"431535 Quinze de Novembro";4;5;3;5;9;10;10;14;8;7;4;8;7;6
"431540 Redentora";5;5;6;6;6;4;3;2;2;2;2;3;2;3
"431545 Relvado";1;1;3;2;2;3;3;3;3;3;4;4;5;4
"431550 Restinga Seca";18;19;18;14;16;17;20;21;20;14;14;18;16;20
"431555 Rio dos Índios";1;1;1;3;3;2;2;2;2;2;1;1;1;2
"431560 Rio Grande";126;243;266;268;266;313;246;251;270;289;569;495;438;327
"431570 Rio Pardo";37;42;53;45;38;37;43;78;74;69;46;37;35;30
"431575 Riozinho";4;5;7;7;5;6;6;6;8;8;8;12;11;5
"431580 Roca Sales";6;7;8;10;18;18;20;18;18;18;18;20;20;24
"431590 Rodeio Bonito";10;12;14;19;14;14;15;14;14;13;13;13;11;10
"431595 Rolador";-;3;1;3;2;2;2;2;1;1;1;1;1;1
"431600 Rolante";17;22;21;21;14;17;18;22;29;40;27;22;23;23
"431610 Ronda Alta";16;10;18;18;17;14;19;24;25;25;19;22;17;18
"431620 Rondinha";5;5;5;6;5;6;4;3;6;7;6;3;3;5
"431630 Roque Gonzales";13;8;7;9;8;10;7;6;9;8;8;7;9;14
"431640 Rosário do Sul";72;77;78;78;65;66;65;65;66;62;61;64;60;64
"431642 Sagrada Família";-;-;-;1;1;1;1;2;3;2;1;1;-;3
"431643 Saldanha Marinho";11;10;10;12;12;9;7;7;12;8;9;19;12;14
"431645 Salto do Jacuí";16;16;13;16;16;15;13;17;17;14;16;16;17;17
"431647 Salvador das Missões";-;-;-;-;1;1;1;2;2;2;2;1;2;1
"431650 Salvador do Sul";10;14;13;14;13;12;9;12;15;11;11;12;12;13
"431660 Sananduva";15;17;30;34;32;32;33;38;30;33;37;46;45;52
"431710 Sant'Ana do Livramento";104;101;143;127;134;134;119;109;110;102;107;103;107;100
"431670 Santa Bárbara do Sul";15;15;8;16;14;18;17;19;21;22;20;12;11;18
"431673 Santa Cecília do Sul";1;1;1;1;2;1;-;-;2;2;1;1;1;1
"431675 Santa Clara do Sul";3;3;3;3;3;3;4;3;3;4;4;5;5;6
"431680 Santa Cruz do Sul";89;234;266;296;323;357;391;420;435;521;537;593;653;656
"431697 Santa Margarida do Sul";1;1;1;1;1;3;5;5;6;5;5;6;4;4
"431690 Santa Maria";266;384;413;472;353;467;463;511;503;433;330;361;429;485
"431695 Santa Maria do Herval";8;11;14;11;12;11;16;16;6;6;7;6;6;6
"431720 Santa Rosa";43;103;127;132;138;137;153;171;177;194;211;177;145;201
"431725 Santa Tereza";3;1;1;1;1;1;1;2;2;2;4;3;1;1
"431730 Santa Vitória do Palmar";25;31;43;41;47;48;47;45;47;46;44;31;32;28
"431700 Santana da Boa Vista";16;6;7;7;7;8;8;6;6;7;6;5;5;5
"431740 Santiago";45;45;47;46;49;61;68;91;82;73;88;89;86;89
"431750 Santo Ângelo";176;255;279;291;233;261;263;256;249;267;282;275;280;302
"431760 Santo Antônio da Patrulha";38;55;101;106;44;81;71;107;83;30;56;59;49;67
"431770 Santo Antônio das Missões";6;5;8;10;6;6;6;6;6;5;5;6;6;5
"431755 Santo Antônio do Palma";-;-;3;3;3;1;2;2;2;1;1;2;2;2
"431775 Santo Antônio do Planalto";1;1;1;3;2;2;2;2;2;2;3;3;3;4
"431780 Santo Augusto";19;22;21;19;25;24;27;23;23;22;21;21;25;22
"431790 Santo Cristo";24;18;23;22;23;18;13;15;13;12;12;15;17;23
"431795 Santo Expedito do Sul";-;-;-;-;1;1;1;1;-;-;-;-;-;-
"431800 São Borja";33;82;103;95;92;99;102;110;113;124;129;134;133;147
"431805 São Domingos do Sul";5;5;4;4;4;5;5;5;5;5;5;5;4;4
"431810 São Francisco de Assis";10;13;14;15;16;16;16;16;15;15;16;15;16;14
"431820 São Francisco de Paula";27;14;18;20;20;21;20;23;23;25;19;19;22;56
"431830 São Gabriel";37;38;61;55;54;59;64;65;59;59;66;82;81;150
"431840 São Jerônimo";25;37;49;59;67;83;100;116;111;93;85;62;55;66
"431842 São João da Urtiga";1;2;2;2;2;3;3;2;2;2;3;3;2;3
"431843 São João do Polêsine";4;4;6;6;6;5;5;4;3;6;6;10;10;20
"431844 São Jorge";1;1;1;1;1;2;2;2;1;1;1;2;2;2
"431845 São José das Missões";-;-;-;1;1;1;-;-;-;-;-;2;2;2
"431846 São José do Herval";2;2;3;3;1;2;1;2;4;4;5;4;2;3
"431848 São José do Hortêncio";2;2;1;1;3;3;3;10;7;7;7;7;6;8
"431849 São José do Inhacorá";4;4;2;3;4;3;3;3;3;3;3;3;3;2
"431850 São José do Norte";9;9;15;13;12;13;20;35;25;25;34;20;42;70
"431860 São José do Ouro";15;15;22;23;20;18;16;16;15;17;21;36;36;35
"431861 São José do Sul";1;1;1;3;7;1;1;1;1;-;7;3;2;1
"431862 São José dos Ausentes";1;1;2;3;4;2;3;4;1;1;1;1;1;1
"431870 São Leopoldo";110;130;168;175;171;135;194;211;192;215;280;423;537;709
"431880 São Lourenço do Sul";51;56;55;62;47;53;53;58;52;54;52;60;62;58
"431890 São Luiz Gonzaga";43;57;63;49;55;53;61;71;64;74;77;77;74;76
"431900 São Marcos";11;15;20;28;29;30;28;31;41;43;41;43;29;42
"431910 São Martinho";6;7;6;6;4;4;6;8;7;6;10;10;16;16
"431912 São Martinho da Serra";-;1;2;2;4;3;1;3;1;3;7;5;2;2
"431915 São Miguel das Missões";11;15;16;16;7;7;6;6;6;11;9;9;10;10
"431920 São Nicolau";-;-;-;4;4;4;4;3;1;1;3;-;-;2
"431930 São Paulo das Missões";6;2;2;3;4;3;5;3;2;4;4;3;4;4
"431935 São Pedro da Serra";2;2;2;2;1;2;2;4;5;6;5;3;3;5
"431936 São Pedro das Missões";1;-;-;-;-;-;-;-;-;2;4;3;2;1
"431937 São Pedro do Butiá";1;1;1;2;2;2;1;3;3;3;3;3;3;3
"431940 São Pedro do Sul";14;18;17;21;21;17;12;22;33;23;17;23;17;20
"431950 São Sebastião do Caí";35;35;43;42;41;60;65;47;40;44;44;47;47;54
"431960 São Sepé";13;18;18;15;20;22;22;21;18;18;19;21;18;16
"431970 São Valentim";1;1;1;3;3;2;3;2;2;2;3;3;3;3
"431971 São Valentim do Sul";1;1;-;1;-;-;1;1;1;1;1;1;-;1
"431973 São Valério do Sul";-;1;1;1;1;3;3;4;2;1;1;2;2;3
"431975 São Vendelino";2;2;2;2;2;2;4;4;3;3;3;4;2;1
"431980 São Vicente do Sul";11;18;18;18;18;18;17;17;19;20;19;16;15;17
"431990 Sapiranga";54;63;63;78;80;79;80;85;112;156;141;135;134;153
"432000 Sapucaia do Sul";92;102;134;134;136;147;173;207;231;245;262;294;436;483
"432010 Sarandi";9;21;24;24;23;25;26;26;26;31;31;33;35;38
"432020 Seberi";10;11;11;9;10;10;13;23;15;22;19;20;32;33
"432023 Sede Nova";1;1;1;3;2;1;1;1;1;2;2;1;1;1
"432026 Segredo";3;5;6;6;6;6;6;6;7;7;6;8;6;6
"432030 Selbach";9;9;9;12;10;14;12;13;10;13;12;13;10;15
"432032 Senador Salgado Filho";1;1;1;2;1;1;1;1;1;1;2;2;2;1
"432035 Sentinela do Sul";1;1;2;2;8;8;8;10;3;2;2;2;7;9
"432040 Serafina Corrêa";19;19;22;22;24;25;26;26;24;26;28;30;20;21
"432045 Sério";1;4;3;1;1;2;3;1;3;3;4;5;5;8
"432050 Sertão";5;5;5;5;6;5;8;9;7;7;9;8;9;10
"432055 Sertão Santana";6;5;5;6;5;6;6;5;11;13;17;11;9;7
"432057 Sete de Setembro";-;1;1;1;1;1;1;1;1;1;-;-;-;-
"432060 Severiano de Almeida";5;4;4;4;5;3;9;5;9;9;6;3;3;3
"432065 Silveira Martins";3;5;5;5;4;4;7;5;3;5;7;7;4;5
"432067 Sinimbu";5;10;9;10;10;12;11;14;15;14;15;15;15;14
"432070 Sobradinho";20;25;28;29;32;32;32;36;35;45;50;51;45;44
"432080 Soledade";22;32;35;36;38;38;37;44;46;49;56;52;47;53
"432085 Tabaí";2;2;3;1;-;-;1;1;1;-;-;-;-;1
"432090 Tapejara";18;20;28;27;28;29;36;31;35;42;39;38;35;61
"432100 Tapera";19;15;17;16;15;17;15;13;12;16;14;15;16;17
"432110 Tapes";5;6;10;9;9;8;8;9;10;27;24;33;34;32
"432120 Taquara";94;97;73;97;81;96;111;130;119;137;175;179;119;119
"432130 Taquari";27;34;36;37;38;37;39;42;34;32;32;43;26;44
"432132 Taquaruçu do Sul";1;3;3;4;4;4;4;3;3;4;4;4;6;6
"432135 Tavares";3;4;4;4;4;6;4;4;4;4;4;4;4;5
"432140 Tenente Portela";28;16;23;27;28;29;28;26;26;28;20;23;31;33
"432143 Terra de Areia";7;7;10;6;8;8;7;9;12;10;10;10;9;16
"432145 Teutônia";39;49;57;63;60;65;74;74;65;65;80;90;90;94
"432146 Tio Hugo";1;1;2;2;2;3;3;3;3;3;3;3;4;3
"432147 Tiradentes do Sul";-;-;-;1;1;1;1;1;1;1;1;1;2;2
"432149 Toropi";1;1;1;1;2;2;1;1;2;2;2;1;3;3
"432150 Torres";47;64;114;150;132;145;70;83;79;95;101;129;149;183
"432160 Tramandaí";28;31;26;26;57;68;81;94;92;56;64;74;61;74
"432162 Travesseiro";1;1;1;1;1;1;1;2;3;4;3;2;3;1
"432163 Três Arroios";3;4;3;5;4;4;5;5;9;5;5;3;5;10
"432166 Três Cachoeiras";7;8;7;9;8;7;11;11;11;7;7;7;3;6
"432170 Três Coroas";24;39;63;69;45;49;38;43;40;32;54;59;57;77
"432180 Três de Maio";15;33;38;45;55;50;48;47;46;56;57;60;63;62
"432183 Três Forquilhas";1;1;2;2;3;3;3;3;4;4;6;5;4;4
"432185 Três Palmeiras";1;1;2;3;3;5;2;1;3;3;3;2;3;6
"432190 Três Passos";48;48;56;60;42;40;46;57;61;69;50;55;46;49
"432195 Trindade do Sul";4;4;4;4;4;6;6;4;5;6;6;4;7;12
"432200 Triunfo";17;22;26;27;27;25;25;43;46;51;33;35;28;42
"432210 Tucunduva";4;2;2;4;4;6;3;5;4;6;7;7;12;12
"432218 Tupanci do Sul";1;1;-;-;1;1;1;2;2;2;3;3;3;3
"432220 Tupanciretã";9;14;19;17;13;15;18;21;25;20;23;15;17;15
"432225 Tupandi";1;2;2;2;2;4;4;7;6;6;6;6;5;7
"432230 Tuparendi";12;21;14;14;22;22;22;22;16;12;14;15;16;21
"432232 Turuçu";6;6;6;5;7;5;7;7;9;4;9;8;11;8
"432234 Ubiretama";3;3;2;3;3;3;2;2;2;2;2;2;2;1
"432235 União da Serra";1;1;1;1;-;-;-;-;-;-;-;-;-;3
"432237 Unistalda";2;2;2;2;2;2;4;4;8;4;4;4;2;3
"432240 Uruguaiana";77;77;120;123;126;138;139;147;134;142;182;157;157;176
"432250 Vacaria";48;64;110;125;138;159;155;144;138;143;159;155;149;160
"432253 Vale do Sol";5;3;5;5;5;4;30;37;38;13;14;15;22;26
"432254 Vale Real";1;1;2;2;3;4;6;5;5;4;2;4;4;5
"432252 Vale Verde";-;-;-;1;1;1;1;-;-;1;1;-;-;1
"432255 Vanini";-;-;-;1;1;2;2;-;-;-;1;1;1;1
"432260 Venâncio Aires";61;71;82;93;91;96;122;168;193;177;167;201;251;269
"432270 Vera Cruz";15;16;22;27;28;30;32;34;31;28;34;34;42;72
"432280 Veranópolis";38;53;60;62;60;68;70;71;75;79;86;89;93;87
"432290 Viadutos";6;6;7;10;11;11;10;10;12;10;10;10;10;9
"432300 Viamão";129;152;168;159;69;88;88;104;131;190;182;140;233;154
"432310 Vicente Dutra";3;3;3;4;3;4;4;4;4;4;4;4;4;4
"432320 Victor Graeff";4;4;4;7;7;7;6;7;6;8;6;6;4;5
"432330 Vila Flores";4;2;2;3;3;3;3;3;4;5;5;5;5;4
"432335 Vila Lângaro";1;2;3;2;2;3;2;2;2;3;3;3;2;2
"432340 Vila Maria";3;4;7;7;6;5;4;4;4;4;4;4;5;6
"432345 Vila Nova do Sul";1;1;1;1;2;3;2;5;5;4;3;3;3;4
"432350 Vista Alegre";1;1;2;3;3;3;3;3;3;4;4;4;2;3
"432360 Vista Alegre do Prata";1;1;1;1;1;2;1;1;1;1;-;1;-;1
"432370 Vista Gaúcha";3;2;2;4;3;6;6;6;5;5;4;7;7;7
"432375 Vitória das Missões";-;-;-;1;1;1;1;1;1;1;1;1;1;1
"432377 Westfalia";-;2;2;2;2;2;1;2;3;4;3;1;1;1
"432380 Xangri-lá";6;13;12;12;9;11;12;10;10;10;16;13;18;25
"500020 Água Clara";9;5;3;5;7;10;8;10;10;12;12;12;13;14
"500025 Alcinópolis";1;1;1;2;2;2;2;5;4;4;6;4;8;8
"500060 Amambai";18;23;18;15;20;17;20;22;17;16;25;24;37;40
"500070 Anastácio";12;17;12;11;11;11;12;16;13;15;13;12;21;23
"500080 Anaurilândia";10;8;7;8;8;9;11;12;11;9;10;9;9;10
"500085 Angélica";1;2;2;2;2;5;3;2;2;3;3;3;3;3
"500090 Antônio João";7;7;3;7;5;4;7;7;8;7;8;8;8;11
"500100 Aparecida do Taboado";15;19;27;27;24;25;20;29;19;19;18;16;18;19
"500110 Aquidauana";40;45;52;85;84;92;72;84;82;85;62;63;63;61
"500124 Aral Moreira";5;4;8;9;8;4;7;5;5;6;4;4;6;11
"500150 Bandeirantes";3;5;7;7;9;9;7;7;7;5;16;13;12;10
"500190 Bataguassu";10;20;24;20;17;17;15;19;18;17;18;17;34;44
"500200 Batayporã";12;7;8;8;8;8;12;11;20;24;27;12;17;19
"500210 Bela Vista";23;21;21;24;20;21;26;18;18;19;15;13;11;14
"500215 Bodoquena";8;5;7;13;18;17;12;11;12;9;9;12;11;9
"500220 Bonito";13;12;17;17;16;20;17;23;24;22;26;36;29;28
